row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls
77,77,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02104638231076143105,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02104638231076143105?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
78,78,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02104638231076143105,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02104638231076143105?region=IN,YouTubeVideo,2026-06-29,2356,1,4,⁦Seekho⁩,Seekho: Short Learning Videos | ജ്യോതിഷം പഠിച്ച് പ്രവചിക്കാം,,,https://ads-rendering-prod.corp.google.com/search,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
79,79,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02104638231076143105,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02104638231076143105?region=IN,YouTubeVideo,2026-06-29,2356,2,4,⁦Seekho⁩,Seekho: Short Learning Videos | ജ്യോതിഷം പഠിച്ച് പ്രവചിക്കാം,,,https://ads-rendering-prod.corp.google.com/search,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
80,80,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02104638231076143105,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02104638231076143105?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
81,81,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02276273095683604481,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02276273095683604481?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
82,82,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02276273095683604481,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02276273095683604481?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
83,83,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02276273095683604481,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02276273095683604481?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
84,84,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02276273095683604481,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02276273095683604481?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
85,85,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02404892866389213185,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02404892866389213185?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
86,86,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02404892866389213185,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02404892866389213185?region=IN,YouTubeVideo,2026-06-29,2356,1,4,⁦Seekho⁩,Seekho: Short Learning Videos | സർക്കാർ സേവനങ്ങൾ വിരൽത്തുമ്പിൽ,,,https://ads-rendering-prod.corp.google.com/search,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
87,87,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02404892866389213185,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02404892866389213185?region=IN,YouTubeVideo,2026-06-29,2356,2,4,⁦Seekho⁩,Seekho: Short Learning Videos | സർക്കാർ സേവനങ്ങൾ കണ്ണുമുന്നിൽ,,,https://ads-rendering-prod.corp.google.com/search,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
88,88,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02404892866389213185,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02404892866389213185?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
89,89,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02415981441155334145,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02415981441155334145?region=IN,YouTubeVideo,2026-06-29,2356,0,3,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
90,90,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02415981441155334145,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02415981441155334145?region=IN,YouTubeVideo,2026-06-29,2356,1,3,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
91,91,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02415981441155334145,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02415981441155334145?region=IN,YouTubeVideo,2026-06-29,2356,2,3,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
92,92,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02500435753918529537,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02500435753918529537?region=IN,YouTubeVideo,2026-06-29,2356,0,3,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
93,93,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02500435753918529537,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02500435753918529537?region=IN,YouTubeVideo,2026-06-29,2356,1,3,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
94,94,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02500435753918529537,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02500435753918529537?region=IN,YouTubeVideo,2026-06-29,2356,2,3,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
95,95,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02678215831963303937,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02678215831963303937?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
96,96,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02678215831963303937,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02678215831963303937?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
97,97,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02678215831963303937,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02678215831963303937?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
98,98,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02678215831963303937,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02678215831963303937?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
99,99,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02721990920328183809,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02721990920328183809?region=IN,YouTubeVideo,2026-06-29,2356,0,4,ಇನ್\u200cಸ್ಟಾಲ್,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
100,100,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02721990920328183809,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02721990920328183809?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
101,101,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02721990920328183809,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02721990920328183809?region=IN,YouTubeVideo,2026-06-29,2356,2,4,ಇನ್\u200cಸ್ಟಾಲ್,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
102,102,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02721990920328183809,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02721990920328183809?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
103,103,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02819408724290961409,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02819408724290961409?region=IN,YouTubeVideo,2026-06-29,2356,0,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
104,104,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02819408724290961409,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02819408724290961409?region=IN,YouTubeVideo,2026-06-29,2356,1,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
105,105,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02819408724290961409,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02819408724290961409?region=IN,YouTubeVideo,2026-06-29,2356,2,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
106,106,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02819408724290961409,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02819408724290961409?region=IN,YouTubeVideo,2026-06-29,2356,3,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
107,107,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02819408724290961409,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02819408724290961409?region=IN,YouTubeVideo,2026-06-29,2356,4,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
108,108,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02919244130984919041,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02919244130984919041?region=IN,YouTubeVideo,2026-06-29,2356,0,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
109,109,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02919244130984919041,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02919244130984919041?region=IN,YouTubeVideo,2026-06-29,2356,1,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
110,110,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02919244130984919041,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02919244130984919041?region=IN,YouTubeVideo,2026-06-29,2356,2,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
111,111,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02919244130984919041,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02919244130984919041?region=IN,YouTubeVideo,2026-06-29,2356,3,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
112,112,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR02919244130984919041,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR02919244130984919041?region=IN,YouTubeVideo,2026-06-29,2356,4,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
113,113,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03138283133753884673,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03138283133753884673?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
114,114,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03138283133753884673,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03138283133753884673?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
115,115,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03138283133753884673,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03138283133753884673?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
116,116,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03138283133753884673,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03138283133753884673?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
117,117,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03244548596116226049,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03244548596116226049?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
118,118,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03244548596116226049,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03244548596116226049?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
119,119,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03244548596116226049,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03244548596116226049?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
120,120,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03244548596116226049,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03244548596116226049?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
121,121,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03309923470149681153,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03309923470149681153,Unknown,,,0,1,,,,,,,,,,,,,,2026-06-29,detail-fetch: HTTPError,,2026-06-29,2026-06-29,,,,
122,122,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03364486141972578305,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03364486141972578305?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
123,123,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03364486141972578305,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03364486141972578305?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
124,124,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03364486141972578305,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03364486141972578305?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
125,125,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03364486141972578305,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03364486141972578305?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
126,126,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03415376530858049537,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03415376530858049537?region=IN,YouTubeVideo,2026-06-29,"2578,2528,2356,2250,2276,2380,2642",0,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
127,127,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03415376530858049537,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03415376530858049537?region=IN,YouTubeVideo,2026-06-29,"2578,2528,2356,2250,2276,2380,2642",1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
128,128,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03415376530858049537,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03415376530858049537?region=IN,YouTubeVideo,2026-06-29,"2578,2528,2356,2250,2276,2380,2642",2,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
129,129,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR03415376530858049537,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR03415376530858049537?region=IN,YouTubeVideo,2026-06-29,"2578,2528,2356,2250,2276,2380,2642",3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
130,130,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR04736177243229782017,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR04736177243229782017?region=IN,YouTubeVideo,2026-06-29,2356,0,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
131,131,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR04736177243229782017,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR04736177243229782017?region=IN,YouTubeVideo,2026-06-29,2356,1,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
132,132,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR04736177243229782017,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR04736177243229782017?region=IN,YouTubeVideo,2026-06-29,2356,2,5,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
133,133,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR04736177243229782017,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR04736177243229782017?region=IN,YouTubeVideo,2026-06-29,2356,3,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
134,134,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR04736177243229782017,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR04736177243229782017?region=IN,YouTubeVideo,2026-06-29,2356,4,5,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
135,135,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05242160631632625665,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05242160631632625665?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
136,136,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05242160631632625665,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05242160631632625665?region=IN,YouTubeVideo,2026-06-29,2356,1,4,ಇನ್\u200cಸ್ಟಾಲ್,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
137,137,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05242160631632625665,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05242160631632625665?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
138,138,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05242160631632625665,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05242160631632625665?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
139,139,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05291254100690731009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05291254100690731009?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
140,140,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05291254100690731009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05291254100690731009?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
141,141,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05291254100690731009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05291254100690731009?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
142,142,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05291254100690731009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05291254100690731009?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
143,143,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05334922510657912833,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05334922510657912833?region=IN,YouTubeVideo,2026-06-29,2356,0,1,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
144,144,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05355198647535403009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05355198647535403009?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
145,145,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05355198647535403009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05355198647535403009?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
146,146,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05355198647535403009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05355198647535403009?region=IN,YouTubeVideo,2026-06-29,2356,2,4,इंस्टॉल करें,,,,,,,,,,,,00:00,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
147,147,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05355198647535403009,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05355198647535403009?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
148,148,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05421305341046423553,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05421305341046423553?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
149,149,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05421305341046423553,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05421305341046423553?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
150,150,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05421305341046423553,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05421305341046423553?region=IN,YouTubeVideo,2026-06-29,2356,2,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
151,151,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05421305341046423553,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05421305341046423553?region=IN,YouTubeVideo,2026-06-29,2356,3,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
152,152,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05475784862302470145,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05475784862302470145?region=IN,YouTubeVideo,2026-06-29,2356,0,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
153,153,English Seekho,AR02289573295139323905,Keyaro Edutech Private Limited,India,IN,CR05475784862302470145,https://adstransparency.google.com/advertiser/AR02289573295139323905/creative/CR05475784862302470145?region=IN,YouTubeVideo,2026-06-29,2356,1,4,,,,,,,,,,,,,,2026-06-29,html5-banner-no-mp4,,2026-06-29,2026-06-29,,,,
