row_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls
1,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00035075571977289729,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00035075571977289729?region=IN,YouTubeVideo,2025-06-05,"2620,2191,2250,2840,2484,2724,2356,2616,2300,2380,2372,2276",0,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
2,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00035075571977289729,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00035075571977289729?region=IN,YouTubeVideo,2025-06-05,"2620,2191,2250,2840,2484,2724,2356,2616,2300,2380,2372,2276",1,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
3,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00035075571977289729,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00035075571977289729?region=IN,YouTubeVideo,2025-06-05,"2620,2191,2250,2840,2484,2724,2356,2616,2300,2380,2372,2276",2,3,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
4,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",0,5,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
5,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",1,5,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
6,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",2,5,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
7,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",3,5,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
8,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR00914879719684440065,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR00914879719684440065?region=IN,YouTubeVideo,2026-04-10,"2196,2578,2840,2250,2124,2036,2300,2616,2203,2504,2484,2703,2442,2440,2826,2752,2372,2642,2356,2620,2724,2348",4,5,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
9,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01084621637585731585,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01084621637585731585?region=IN,Image,2026-06-04,"2124,2616,2620,2818,2428,2642,2191,2703,2484,2276,2792,2170,2348,2608,2756,2440,2826,2036,2392,2040,2578,2410,2203,2300,2208,2704,2152,2356,2360,2380,2032,2233,2752,2372,2196,2724,2442,2056,2250,2705,2528,2840,2076,2100",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/13156060863032764749,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR01084621637585731585.jpg,2026-06-03,2026-06-05,,,,
10,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01084621637585731585,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01084621637585731585?region=IN,Image,2026-06-04,"2124,2616,2620,2818,2428,2642,2191,2703,2484,2276,2792,2170,2348,2608,2756,2440,2826,2036,2392,2040,2578,2410,2203,2300,2208,2704,2152,2356,2360,2380,2032,2233,2752,2372,2196,2724,2442,2056,2250,2705,2528,2840,2076,2100",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/13156060863032764749,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR01084621637585731585.jpg,2026-06-03,2026-06-05,,,,
11,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01496360403993624577,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01496360403993624577?region=IN,YouTubeVideo,2025-12-11,"2704,2840,2348,2380,2372,2642,2276,2608,2724,2300,2191,2356,2484,2360,2620,2250,2124,2528,2616",0,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
12,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01496360403993624577,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01496360403993624577?region=IN,YouTubeVideo,2025-12-11,"2704,2840,2348,2380,2372,2642,2276,2608,2724,2300,2191,2356,2484,2360,2620,2250,2124,2528,2616",1,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
13,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01496360403993624577,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01496360403993624577?region=IN,YouTubeVideo,2025-12-11,"2704,2840,2348,2380,2372,2642,2276,2608,2724,2300,2191,2356,2484,2360,2620,2250,2124,2528,2616",2,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
14,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01853694192597860353,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01853694192597860353?region=IN,YouTubeVideo,2026-01-22,"2348,2056,2688,2474,2642,2250,2792,2638,2276,2804,2682,2246,2440,2504,2208,2300,2704,2352,2203,2040,2578,2724,2438,2826,2756,2372,2312,2196,2233,2380,2764,2356,2360,2752,2428,2818,2442,2470,2191,2620,2705,2100,2076,2528,2616,2703",0,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
15,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01853694192597860353,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01853694192597860353?region=IN,YouTubeVideo,2026-01-22,"2348,2056,2688,2474,2642,2250,2792,2638,2276,2804,2682,2246,2440,2504,2208,2300,2704,2352,2203,2040,2578,2724,2438,2826,2756,2372,2312,2196,2233,2380,2764,2356,2360,2752,2428,2818,2442,2470,2191,2620,2705,2100,2076,2528,2616,2703",1,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
16,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01853694192597860353,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01853694192597860353?region=IN,YouTubeVideo,2026-01-22,"2348,2056,2688,2474,2642,2250,2792,2638,2276,2804,2682,2246,2440,2504,2208,2300,2704,2352,2203,2040,2578,2724,2438,2826,2756,2372,2312,2196,2233,2380,2764,2356,2360,2752,2428,2818,2442,2470,2191,2620,2705,2100,2076,2528,2616,2703",2,4,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
17,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR01853694192597860353,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR01853694192597860353?region=IN,YouTubeVideo,2026-01-22,"2348,2056,2688,2474,2642,2250,2792,2638,2276,2804,2682,2246,2440,2504,2208,2300,2704,2352,2203,2040,2578,2724,2438,2826,2756,2372,2312,2196,2233,2380,2764,2356,2360,2752,2428,2818,2442,2470,2191,2620,2705,2100,2076,2528,2616,2703",3,4,,,,,,,,,,,,,,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
18,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR02356181271463329793,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR02356181271463329793?region=IN,YouTubeVideo,2026-06-02,"2300,2250,2840,2826,2724,2682,2104,2620,2356,2196,2616,2642,2372",0,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
19,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR02356181271463329793,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR02356181271463329793?region=IN,YouTubeVideo,2026-06-02,"2300,2250,2840,2826,2724,2682,2104,2620,2356,2196,2616,2642,2372",1,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
20,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR02356181271463329793,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR02356181271463329793?region=IN,YouTubeVideo,2026-06-02,"2300,2250,2840,2826,2724,2682,2104,2620,2356,2196,2616,2642,2372",2,3,,,,,,,,,,,,,00:00,2026-06-03,html5-banner-no-mp4,,2026-06-03,2026-06-03,,,,
21,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR02534039827150536705,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR02534039827150536705?region=IN,Image,2025-07-06,"2686,2862,2288,2368,2320,2422,2826,2558,2380,2214,2356,2360,2404,2818,2050,2566,2384,2012,2100,2524,2528,2076,2840,2608,2250,2792,2484,2276,2031,2170,2068,2231,2788,2504,2222,2704,2410,2340,2604,2400,2586,2203,2860,2218",0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/7073828264467046227/index.html,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR02534039827150536705.jpg,2026-06-03,2026-06-05,,,,
22,Praktika AI,AR10065453821808607233,PRAKTIKA.AI COMPANY,United States,IN,CR02534039827150536705,https://adstransparency.google.com/advertiser/AR10065453821808607233/creative/CR02534039827150536705?region=IN,Image,2025-07-06,"2686,2862,2288,2368,2320,2422,2826,2558,2380,2214,2356,2360,2404,2818,2050,2566,2384,2012,2100,2524,2528,2076,2840,2608,2250,2792,2484,2276,2031,2170,2068,2231,2788,2504,2222,2704,2410,2340,2604,2400,2586,2203,2860,2218",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/7352521389803221549/index.html,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR02534039827150536705.jpg,2026-06-03,2026-06-05,,,,
