page_id,page_name,ad_id,media_type,verdict,first_seen,last_seen,present_now,best_page_rank,run_days,2026-06-01,2026-06-15,2026-06-29
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15499322363102625793,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,10,14,,10,128
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00860993548160335873,YouTubeVideo,winner,2026-06-01,2026-06-29,True,11,28,11,11,11
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15503392411551268865,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,11,14,,11,129
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01241396645493473281,YouTubeVideo,winner,2026-06-01,2026-06-29,True,12,28,12,12,12
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15717523469291749377,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,12,14,,12,132
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01282886948695834625,Image,winner,2026-06-01,2026-06-29,True,13,28,13,13,13
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16484542780828286977,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,13,14,,13,141
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01304809423847292929,YouTubeVideo,winner,2026-06-01,2026-06-29,True,14,28,14,14,14
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16724389491397099521,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,14,14,,14,146
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01362799453802594305,Image,winner,2026-06-01,2026-06-29,True,15,28,15,15,15
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17460610314008526849,YouTubeVideo,undecided,2026-06-15,2026-06-29,True,15,14,,15,154
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01621832135469957121,YouTubeVideo,winner,2026-06-01,2026-06-29,True,16,28,16,16,16
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01810583028867530753,YouTubeVideo,winner,2026-06-01,2026-06-29,True,17,28,17,17,17
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01697097348523491329,YouTubeVideo,loser,2026-06-01,2026-06-01,False,18,0,18,,
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01948288064153452545,YouTubeVideo,winner,2026-06-01,2026-06-29,True,18,28,19,18,18
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR02000079459868213249,YouTubeVideo,winner,2026-06-01,2026-06-29,True,19,28,20,19,19
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR02280664888722325505,YouTubeVideo,winner,2026-06-01,2026-06-29,True,20,28,21,20,20
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR02292858000227958785,YouTubeVideo,winner,2026-06-01,2026-06-29,True,21,28,22,21,21
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR02352052854409134081,YouTubeVideo,winner,2026-06-01,2026-06-29,True,22,28,23,22,22
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR02578210301614751745,YouTubeVideo,winner,2026-06-01,2026-06-29,True,23,28,24,23,23
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR02719062826374135809,YouTubeVideo,winner,2026-06-01,2026-06-29,True,24,28,25,24,24
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR02725022660433018881,YouTubeVideo,winner,2026-06-01,2026-06-29,True,25,28,26,25,25
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR02944692808646131713,YouTubeVideo,winner,2026-06-01,2026-06-29,True,26,28,27,26,26
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR03041052427156455425,YouTubeVideo,winner,2026-06-01,2026-06-29,True,27,28,28,27,27
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR03359961213537615873,YouTubeVideo,winner,2026-06-01,2026-06-29,True,28,28,29,28,28
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR03379897730171142145,YouTubeVideo,winner,2026-06-01,2026-06-29,True,29,28,30,29,29
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR03611905025913126913,YouTubeVideo,winner,2026-06-01,2026-06-29,True,30,28,31,30,30
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR03679388926457413633,YouTubeVideo,winner,2026-06-01,2026-06-29,True,31,28,32,31,31
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR04267229787317075969,YouTubeVideo,winner,2026-06-01,2026-06-29,True,32,28,33,32,32
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR04442344606226448385,YouTubeVideo,winner,2026-06-01,2026-06-29,True,33,28,35,33,34
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR04321392211137658881,YouTubeVideo,new,2026-06-29,2026-06-29,True,33,0,,,33
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR03714334867731775489,YouTubeVideo,loser,2026-06-01,2026-06-01,False,34,0,34,,
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR04503504528204627969,YouTubeVideo,winner,2026-06-01,2026-06-29,True,34,28,36,34,35
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR04808896356720574465,YouTubeVideo,winner,2026-06-01,2026-06-29,True,35,28,37,35,36
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05037975111831912449,YouTubeVideo,winner,2026-06-01,2026-06-29,True,36,28,39,36,38
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR04959480521458450433,YouTubeVideo,winner,2026-06-01,2026-06-29,True,37,28,38,,37
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05056138382497808385,YouTubeVideo,winner,2026-06-01,2026-06-29,True,37,28,40,37,39
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05132609759807012865,YouTubeVideo,winner,2026-06-01,2026-06-29,True,39,28,41,39,41
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05212164141950697473,YouTubeVideo,winner,2026-06-01,2026-06-29,True,40,28,42,40,42
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05286711786228154369,YouTubeVideo,winner,2026-06-01,2026-06-29,True,41,28,43,41,43
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05294247040061014017,YouTubeVideo,winner,2026-06-01,2026-06-29,True,42,28,44,42,44
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05345301805934837761,YouTubeVideo,winner,2026-06-01,2026-06-29,True,43,28,45,43,45
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05353549448813215745,YouTubeVideo,winner,2026-06-01,2026-06-29,True,44,28,46,44,46
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05579308323053764609,YouTubeVideo,winner,2026-06-01,2026-06-29,True,45,28,47,45,47
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05600036659857981441,YouTubeVideo,winner,2026-06-01,2026-06-29,True,46,28,48,46,48
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05635146333875601409,YouTubeVideo,winner,2026-06-01,2026-06-29,True,47,28,49,47,49
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05803348385742192641,YouTubeVideo,winner,2026-06-01,2026-06-29,True,48,28,50,48,50
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR06114939260815540225,YouTubeVideo,winner,2026-06-01,2026-06-29,True,49,28,51,49,51
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR06118408769756987393,YouTubeVideo,winner,2026-06-01,2026-06-29,True,50,28,52,50,52
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR06200431649994309633,YouTubeVideo,winner,2026-06-01,2026-06-29,True,51,28,53,51,53
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR06742815444576501761,YouTubeVideo,winner,2026-06-01,2026-06-29,True,52,28,54,52,54
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR06848845680169975809,YouTubeVideo,winner,2026-06-01,2026-06-29,True,53,28,55,53,55
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR06894171947513413633,YouTubeVideo,winner,2026-06-01,2026-06-29,True,54,28,56,54,56
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR06921612527927296001,YouTubeVideo,winner,2026-06-01,2026-06-29,True,55,28,57,55,57
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07014545930766516225,YouTubeVideo,winner,2026-06-01,2026-06-29,True,56,28,58,56,58
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07058426752636289025,YouTubeVideo,winner,2026-06-01,2026-06-29,True,57,28,59,57,59
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07153038491255832577,YouTubeVideo,winner,2026-06-01,2026-06-29,True,58,28,60,58,60
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07200835636104790017,YouTubeVideo,winner,2026-06-01,2026-06-29,True,59,28,62,59,61
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07301036192328318977,YouTubeVideo,winner,2026-06-01,2026-06-29,True,61,28,63,61,62
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07549967987088818177,YouTubeVideo,winner,2026-06-01,2026-06-29,True,62,28,64,62,63
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07607579931073052673,YouTubeVideo,winner,2026-06-01,2026-06-29,True,63,28,65,63,64
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07649973903984427009,YouTubeVideo,winner,2026-06-01,2026-06-29,True,64,28,66,64,65
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07806690079430148097,YouTubeVideo,winner,2026-06-01,2026-06-29,True,65,28,67,65,66
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07912052533508440065,YouTubeVideo,winner,2026-06-01,2026-06-29,True,66,28,68,66,67
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07970046343034961921,YouTubeVideo,winner,2026-06-01,2026-06-29,True,67,28,69,67,68
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07982494395209351169,YouTubeVideo,winner,2026-06-01,2026-06-29,True,68,28,70,68,69
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08014230698833477633,YouTubeVideo,winner,2026-06-01,2026-06-29,True,69,28,71,69,70
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08023856235939889153,YouTubeVideo,winner,2026-06-01,2026-06-29,True,70,28,72,70,71
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08321099240185004033,YouTubeVideo,winner,2026-06-01,2026-06-29,True,71,28,73,71,72
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08354442986859266049,YouTubeVideo,winner,2026-06-01,2026-06-29,True,72,28,74,72,73
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08554145565825302529,YouTubeVideo,winner,2026-06-01,2026-06-29,True,74,28,75,74,75
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08608946161656528897,YouTubeVideo,winner,2026-06-01,2026-06-29,True,75,28,76,75,76
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08646403980194217985,YouTubeVideo,winner,2026-06-01,2026-06-29,True,76,28,77,76,77
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08725913789167304705,YouTubeVideo,winner,2026-06-01,2026-06-29,True,77,28,78,77,78
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08817339624125890561,YouTubeVideo,winner,2026-06-01,2026-06-29,True,78,28,80,78,79
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR09345366433959247873,YouTubeVideo,winner,2026-06-01,2026-06-29,True,80,28,81,80,80
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR09459151018257285121,YouTubeVideo,winner,2026-06-01,2026-06-29,True,81,28,82,81,81
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR09499031567717105665,YouTubeVideo,winner,2026-06-01,2026-06-29,True,82,28,83,82,83
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR09479280421872074753,YouTubeVideo,new,2026-06-29,2026-06-29,True,82,0,,,82
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR10031492037930385409,YouTubeVideo,winner,2026-06-01,2026-06-29,True,83,28,84,83,84
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR10214324397674594305,YouTubeVideo,winner,2026-06-01,2026-06-29,True,84,28,85,84,85
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR10229427014515818497,YouTubeVideo,winner,2026-06-01,2026-06-29,True,85,28,86,85,86
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR10331137543801667585,YouTubeVideo,winner,2026-06-01,2026-06-29,True,86,28,87,86,87
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR10579649574228459521,YouTubeVideo,winner,2026-06-01,2026-06-29,True,88,28,88,88,89
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR10723979880036302849,Image,winner,2026-06-01,2026-06-29,True,89,28,89,89,90
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11142920585045082113,YouTubeVideo,winner,2026-06-01,2026-06-29,True,90,28,90,90,91
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11176165315543302145,YouTubeVideo,winner,2026-06-01,2026-06-29,True,91,28,91,91,92
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11203510685122166785,YouTubeVideo,winner,2026-06-01,2026-06-29,True,92,28,92,92,93
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11383191500943785985,YouTubeVideo,winner,2026-06-01,2026-06-29,True,93,28,93,93,94
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11463094093266026497,YouTubeVideo,winner,2026-06-01,2026-06-29,True,94,28,94,94,95
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11513262970595442689,YouTubeVideo,winner,2026-06-01,2026-06-29,True,95,28,95,95,96
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11884472046186397697,YouTubeVideo,winner,2026-06-01,2026-06-29,True,96,28,96,97,98
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11929589981846175745,YouTubeVideo,winner,2026-06-01,2026-06-29,True,97,28,97,98,99
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR12007664146460966913,YouTubeVideo,winner,2026-06-01,2026-06-29,True,98,28,98,99,100
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR12126851138192408577,YouTubeVideo,winner,2026-06-01,2026-06-29,True,99,28,99,100,101
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR12697472178082283521,YouTubeVideo,winner,2026-06-01,2026-06-29,True,100,28,100,103,103
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR12901464570383564801,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,101,28,101,104,104
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13018947619739664385,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,102,28,102,105,105
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13059207337502310401,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,103,28,103,106,106
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13185899114568613889,Image,undecided,2026-06-01,2026-06-29,True,104,28,104,107,107
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13276385872107798529,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,105,28,105,108,108
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13631751397459361793,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,106,28,106,109,109
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13802194597620744193,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,107,28,107,110,110
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13838613609598418945,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,108,28,108,111,111
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13862778581664399361,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,109,28,109,112,112
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13876541374867701761,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,110,28,110,113,113
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR13911443722224009217,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,111,28,111,114,114
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14038620109040254977,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,112,28,112,115,115
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14079136013012172801,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,113,28,113,116,116
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14315073341268951041,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,114,28,114,118,118
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14375313959857160193,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,115,28,115,119,119
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14394113727496454145,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,116,28,116,120,120
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14429343729317838849,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,117,28,117,121,121
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14743227043185426433,Image,undecided,2026-06-01,2026-06-29,True,118,28,118,122,122
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14838045395501711361,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,119,28,119,123,123
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15016091744338968577,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,120,28,120,124,124
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15043846553150160897,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,121,28,121,125,125
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15145950432720846849,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,122,28,122,126,126
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15405023091943800833,Image,undecided,2026-06-01,2026-06-29,True,123,28,123,127,127
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15529766646074834945,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,124,28,124,130,130
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15644442616475418625,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,125,28,125,131,131
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15745439665794056193,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,126,28,126,133,133
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15791378283804753921,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,127,28,127,134,134
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15901501013345959937,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,128,28,128,135,135
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15906167340694241281,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,129,28,129,136,136
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16136154343949729793,Image,undecided,2026-06-01,2026-06-29,True,130,28,130,137,137
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16320445558055501825,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,131,28,131,138,138
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16375494909802577921,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,132,28,132,139,139
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16386687732014907393,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,133,28,133,140,140
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16485149754196492289,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,134,28,134,142,142
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16572687054614298625,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,135,28,135,143,143
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16657325853402726401,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,136,28,136,144,144
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16700473026138865665,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,137,28,137,145,145
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR16790182042410156033,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,138,28,138,147,147
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17226006805025390593,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,139,28,139,148,149
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17232173965745586177,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,140,28,140,149,150
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17306694637628424193,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,141,28,141,150,151
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17336333176145969153,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,142,28,142,151,152
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17366205189085724673,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,143,28,143,152,153
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17568883579092467713,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,144,28,144,154,155
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17597063117219561473,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,145,28,145,155,156
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17654615129230147585,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,146,28,146,156,157
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17696936225136443393,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,147,28,147,157,158
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17887535672458215425,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,148,28,148,158,159
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR17178941548373475329,YouTubeVideo,new,2026-06-29,2026-06-29,True,148,0,,,148
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR18047545778582323201,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,149,28,149,159,161
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR18166541077333409793,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,150,28,150,160,162
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR18263089863383318529,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,151,28,151,161,163
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR18358005247600754689,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,152,28,152,162,164
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR18408405280070041601,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,153,28,153,163,165
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR18421546479836463105,YouTubeVideo,undecided,2026-06-01,2026-06-29,True,154,28,154,164,166
AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR18009011254693199873,YouTubeVideo,new,2026-06-29,2026-06-29,True,160,0,,,160
